country,shocked_region,shock_severity,impact_level
Mauritius,FSU,Mid,Low Impact
Mexico,FSU,Mid,Low Impact
Barbados,FSU,Mid,Medium Impact
Mongolia,FSU,Mid,Medium Impact
Montserrat,FSU,Mid,Medium Impact
Morocco,FSU,Mid,Low Impact
Mozambique,FSU,Mid,Low Impact
Micronesia (Federated States of),FSU,Mid,Medium Impact
Republic of Moldova,FSU,Mid,Low Impact
Namibia,FSU,Mid,Low Impact
Nauru,FSU,Mid,Medium Impact
Nepal,FSU,Mid,Medium Impact
Netherlands,FSU,Mid,Low Impact
,FSU,Mid,Medium Impact
New Caledonia,FSU,Mid,Medium Impact
The former Yugoslav Republic of Macedonia,FSU,Mid,Medium Impact
Vanuatu,FSU,Mid,Medium Impact
New Zealand,FSU,Mid,Low Impact
Nicaragua,FSU,Mid,Low Impact
Niger,FSU,Mid,Low Impact
Nigeria,FSU,Mid,Low Impact
Bangladesh,FSU,Mid,Low Impact
Niue,FSU,Mid,Medium Impact
Norfolk Island,FSU,Mid,Medium Impact
Norway,FSU,Mid,Low Impact
Northern Mariana Islands,FSU,Mid,Medium Impact
Pacific Islands Trust Territory,FSU,Mid,Medium Impact
Pakistan,FSU,Mid,Low Impact
Panama,FSU,Mid,Low Impact
Czech Republic,FSU,Mid,Low Impact
Czechoslovakia,FSU,Mid,Low Impact
Papua New Guinea,FSU,Mid,Low Impact
Paraguay,FSU,Mid,Low Impact
Bermuda,FSU,Mid,Medium Impact
Peru,FSU,Mid,Low Impact
Philippines,FSU,Mid,Low Impact
Poland,FSU,Mid,Low Impact
Portugal,FSU,Mid,Low Impact
Guinea-Bissau,FSU,Mid,Medium Impact
Timor-Leste,FSU,Mid,Medium Impact
Eritrea,FSU,Mid,Low Impact
Qatar,FSU,Mid,Medium Impact
Bhutan,FSU,Mid,Medium Impact
Palau,FSU,Mid,Medium Impact
Zimbabwe,FSU,Mid,Low Impact
Romania,FSU,Mid,Low Impact
Rwanda,FSU,Mid,Low Impact
Russian Federation,FSU,Mid,Serious Impact
USSR,FSU,Mid,Serious Impact
Saint Helena,FSU,Mid,Medium Impact
Saint Kitts and Nevis,FSU,Mid,Medium Impact
Saint Lucia,FSU,Mid,Medium Impact
Bolivia (Plurinational State of),FSU,Mid,Low Impact
Saint Pierre and Miquelon,FSU,Mid,Medium Impact
Saint Vincent and the Grenadines,FSU,Mid,Medium Impact
Sao Tome and Principe,FSU,Mid,Medium Impact
Saudi Arabia,FSU,Mid,Low Impact
Senegal,FSU,Mid,Low Impact
Seychelles,FSU,Mid,Medium Impact
Sierra Leone,FSU,Mid,Medium Impact
Slovenia,FSU,Mid,Low Impact
Slovakia,FSU,Mid,Low Impact
Yugoslav SFR,FSU,Mid,Low Impact
Afghanistan,FSU,Mid,Low Impact
Botswana,FSU,Mid,Medium Impact
Singapore,FSU,Mid,Low Impact
Somalia,FSU,Mid,Medium Impact
South Africa,FSU,Mid,Low Impact
Spain,FSU,Mid,Low Impact
Western Sahara,FSU,Mid,Medium Impact
Suriname,FSU,Mid,Medium Impact
Tajikistan,FSU,Mid,Low Impact
Swaziland,FSU,Mid,Medium Impact
Brazil,FSU,Mid,Low Impact
Sweden,FSU,Mid,Low Impact
Switzerland,FSU,Mid,Low Impact
Syrian Arab Republic,FSU,Mid,Low Impact
Turkmenistan,FSU,Mid,Low Impact
United Republic of Tanzania,FSU,Mid,Low Impact
Thailand,FSU,Mid,Low Impact
Togo,FSU,Mid,Low Impact
Tonga,FSU,Mid,Medium Impact
Aruba,FSU,Mid,Medium Impact
Trinidad and Tobago,FSU,Mid,Low Impact
Oman,FSU,Mid,Low Impact
Tunisia,FSU,Mid,Low Impact
Turkey,FSU,Mid,Low Impact
,FSU,Mid,Medium Impact
United Arab Emirates,FSU,Mid,Low Impact
Uganda,FSU,Mid,Low Impact
Tuvalu,FSU,Mid,Medium Impact
United Kingdom,FSU,Mid,Low Impact
Belize,FSU,Mid,Medium Impact
Ukraine,FSU,Mid,Serious Impact
United States of America,FSU,Mid,Low Impact
Burkina Faso,FSU,Mid,Low Impact
Uruguay,FSU,Mid,Low Impact
Uzbekistan,FSU,Mid,Low Impact
Venezuela (Bolivarian Republic of),FSU,Mid,Low Impact
Viet Nam,FSU,Mid,Low Impact
Ethiopia,FSU,Mid,Low Impact
Ethiopia PDR,FSU,Mid,Low Impact
British Virgin Islands,FSU,Mid,Medium Impact
Wallis and Futuna Islands,FSU,Mid,Medium Impact
Samoa,FSU,Mid,Medium Impact
Yemen,FSU,Mid,Low Impact
Yemen Ar Rp,FSU,Mid,Low Impact
Yemen Dem,FSU,Mid,Low Impact
Solomon Islands,FSU,Mid,Medium Impact
Democratic Republic of the Congo,FSU,Mid,Low Impact
Zambia,FSU,Mid,Low Impact
,FSU,Mid,Medium Impact
Belgium,FSU,Mid,Low Impact
Belgium-Luxembourg,FSU,Mid,Low Impact
Luxembourg,FSU,Mid,No Impact
Anguilla,FSU,Mid,Medium Impact
Brunei Darussalam,FSU,Mid,Medium Impact
Bulgaria,FSU,Mid,Low Impact
Mayotte,FSU,Mid,Medium Impact
Serbia,FSU,Mid,Low Impact
Serbia and Montenegro,FSU,Mid,Low Impact
Montenegro,FSU,Mid,Medium Impact
Sudan,FSU,Mid,Low Impact
South Sudan,FSU,Mid,Medium Impact
Myanmar,FSU,Mid,Low Impact
Burundi,FSU,Mid,Medium Impact
,FSU,Mid,Medium Impact
Albania,FSU,Mid,Low Impact
Antarctica,FSU,Mid,Medium Impact
Cameroon,FSU,Mid,Low Impact
Canada,FSU,Mid,Low Impact
Cape Verde,FSU,Mid,Medium Impact
China,FSU,Mid,Low Impact
Cayman Islands,FSU,Mid,Medium Impact
Central African Republic,FSU,Mid,Medium Impact
Sri Lanka,FSU,Mid,Low Impact
Chad,FSU,Mid,Medium Impact
Algeria,FSU,Mid,Low Impact
Chile,FSU,Mid,Low Impact
Christmas Island,FSU,Mid,Medium Impact
Colombia,FSU,Mid,Low Impact
Comoros,FSU,Mid,Medium Impact
Congo,FSU,Mid,Low Impact
Cook Islands,FSU,Mid,Medium Impact
Costa Rica,FSU,Mid,Low Impact
Cuba,FSU,Mid,Medium Impact
American Samoa,FSU,Mid,Medium Impact
Cyprus,FSU,Mid,Low Impact
Azerbaijan,FSU,Mid,Serious Impact
Benin,FSU,Mid,Medium Impact
Denmark,FSU,Mid,Low Impact
Dominica,FSU,Mid,Medium Impact
Dominican Republic,FSU,Mid,Low Impact
Belarus,FSU,Mid,Low Impact
Ecuador,FSU,Mid,Low Impact
Egypt,FSU,Mid,Low Impact
Andorra,FSU,Mid,Medium Impact
El Salvador,FSU,Mid,Low Impact
Equatorial Guinea,FSU,Mid,Medium Impact
Estonia,FSU,Mid,Low Impact
Faroe Islands,FSU,Mid,Medium Impact
Falkland Islands (Malvinas),FSU,Mid,Medium Impact
Fiji,FSU,Mid,Low Impact
Finland,FSU,Mid,Low Impact
France,FSU,Mid,Low Impact
Angola,FSU,Mid,Low Impact
French Polynesia,FSU,Mid,Medium Impact
Djibouti,FSU,Mid,Medium Impact
Georgia,FSU,Mid,Low Impact
Gabon,FSU,Mid,Medium Impact
Gambia,FSU,Mid,Medium Impact
Germany,FSU,Mid,Low Impact
Germany Fr,FSU,Mid,Low Impact
Germany Nl,FSU,Mid,Low Impact
Antigua and Barbuda,FSU,Mid,Medium Impact
Bosnia and Herzegovina,FSU,Mid,Low Impact
Ghana,FSU,Mid,Low Impact
Gibraltar,FSU,Mid,Medium Impact
Kiribati,FSU,Mid,Medium Impact
Greece,FSU,Mid,Low Impact
Greenland,FSU,Mid,Medium Impact
Grenada,FSU,Mid,Medium Impact
Guam,FSU,Mid,Medium Impact
Guatemala,FSU,Mid,Low Impact
Argentina,FSU,Mid,Low Impact
Guinea,FSU,Mid,Low Impact
Guyana,FSU,Mid,Low Impact
Haiti,FSU,Mid,Medium Impact
Holy See,FSU,Mid,No Impact
Honduras,FSU,Mid,Low Impact
Hungary,FSU,Mid,Low Impact
Croatia,FSU,Mid,Low Impact
Iceland,FSU,Mid,Medium Impact
Armenia,EUR,Low,Low Impact
Australia,EUR,Low,Low Impact
India,EUR,Low,Low Impact
Indonesia,EUR,Low,Low Impact
Iran (Islamic Republic of),EUR,Low,No Impact
Iraq,EUR,Low,Low Impact
Ireland,EUR,Low,Low Impact
Israel,EUR,Low,No Impact
Italy,EUR,Low,Low Impact
Cote d'Ivoire,EUR,Low,Low Impact
Kazakhstan,EUR,Low,Low Impact
Jamaica,EUR,Low,Medium Impact
Austria,EUR,Low,Low Impact
Japan,EUR,Low,Low Impact
Jordan,EUR,Low,Low Impact
Kyrgyzstan,EUR,Low,Low Impact
Kenya,EUR,Low,Low Impact
Cambodia,EUR,Low,Medium Impact
Democratic People's Republic of Korea,EUR,Low,Medium Impact
Republic of Korea,EUR,Low,Low Impact
Kuwait,EUR,Low,Medium Impact
Latvia,EUR,Low,Serious Impact
Bahamas,EUR,Low,Medium Impact
Lao People's Democratic Republic,EUR,Low,Medium Impact
Lebanon,EUR,Low,Low Impact
Lesotho,EUR,Low,Medium Impact
Liberia,EUR,Low,Medium Impact
Libya,EUR,Low,Low Impact
Lithuania,EUR,Low,Serious Impact
Marshall Islands,EUR,Low,Medium Impact
Madagascar,EUR,Low,Medium Impact
Bahrain,EUR,Low,Low Impact
Malawi,EUR,Low,Low Impact
Malaysia,EUR,Low,Low Impact
Maldives,EUR,Low,Medium Impact
Mali,EUR,Low,Low Impact
Malta,EUR,Low,Serious Impact
Mauritania,EUR,Low,Low Impact
Mauritius,EUR,Low,Medium Impact
Mexico,EUR,Low,Low Impact
Barbados,EUR,Low,Medium Impact
Mongolia,EUR,Low,Medium Impact
Montserrat,EUR,Low,Medium Impact
Morocco,EUR,Low,Low Impact
Mozambique,EUR,Low,Low Impact
Micronesia (Federated States of),EUR,Low,Medium Impact
Republic of Moldova,EUR,Low,Low Impact
Namibia,EUR,Low,Low Impact
Nauru,EUR,Low,Medium Impact
Nepal,EUR,Low,Medium Impact
Netherlands,EUR,Low,Low Impact
,EUR,Low,Medium Impact
New Caledonia,EUR,Low,Medium Impact
The former Yugoslav Republic of Macedonia,EUR,Low,Medium Impact
Vanuatu,EUR,Low,Medium Impact
New Zealand,EUR,Low,Low Impact
Nicaragua,EUR,Low,Low Impact
Niger,EUR,Low,Low Impact
Nigeria,EUR,Low,Low Impact
Bangladesh,EUR,Low,Low Impact
Niue,EUR,Low,Medium Impact
Norfolk Island,EUR,Low,Medium Impact
Norway,EUR,Low,Low Impact
Northern Mariana Islands,EUR,Low,Medium Impact
Pacific Islands Trust Territory,EUR,Low,Medium Impact
Pakistan,EUR,Low,Low Impact
Panama,EUR,Low,Low Impact
Czech Republic,EUR,Low,Serious Impact
Czechoslovakia,EUR,Low,Serious Impact
Papua New Guinea,EUR,Low,Low Impact
Paraguay,EUR,Low,Low Impact
Bermuda,EUR,Low,Medium Impact
Peru,EUR,Low,Low Impact
Philippines,EUR,Low,Low Impact
Poland,EUR,Low,Medium Impact
Portugal,EUR,Low,Low Impact
Guinea-Bissau,EUR,Low,Medium Impact
Timor-Leste,EUR,Low,Medium Impact
Eritrea,EUR,Low,Low Impact
Qatar,EUR,Low,Medium Impact
Bhutan,EUR,Low,Medium Impact
Palau,EUR,Low,Medium Impact
Zimbabwe,EUR,Low,Low Impact
Romania,EUR,Low,Serious Impact
Rwanda,EUR,Low,Low Impact
Russian Federation,EUR,Low,Low Impact
USSR,EUR,Low,Low Impact
Saint Helena,EUR,Low,Medium Impact
Saint Kitts and Nevis,EUR,Low,Medium Impact
Saint Lucia,EUR,Low,Medium Impact
Bolivia (Plurinational State of),EUR,Low,Low Impact
Saint Pierre and Miquelon,EUR,Low,Medium Impact
Saint Vincent and the Grenadines,EUR,Low,Serious Impact
Sao Tome and Principe,EUR,Low,Medium Impact
Saudi Arabia,EUR,Low,Low Impact
Senegal,EUR,Low,Low Impact
Seychelles,EUR,Low,Medium Impact
Sierra Leone,EUR,Low,Medium Impact
Slovenia,EUR,Low,Medium Impact
Slovakia,EUR,Low,Serious Impact
Yugoslav SFR,EUR,Low,Serious Impact
Afghanistan,EUR,Low,Low Impact
Botswana,EUR,Low,Medium Impact
Singapore,EUR,Low,Low Impact
Somalia,EUR,Low,Medium Impact
South Africa,EUR,Low,Low Impact
Spain,EUR,Low,Low Impact
Western Sahara,EUR,Low,Medium Impact
Suriname,EUR,Low,Medium Impact
Tajikistan,EUR,Low,Low Impact
Swaziland,EUR,Low,Medium Impact
Brazil,EUR,Low,Low Impact
Sweden,EUR,Low,Low Impact
Switzerland,EUR,Low,Low Impact
Syrian Arab Republic,EUR,Low,Low Impact
Turkmenistan,EUR,Low,No Impact
United Republic of Tanzania,EUR,Low,Low Impact
Thailand,EUR,Low,Low Impact
Togo,EUR,Low,Medium Impact
Tonga,EUR,Low,Medium Impact
Aruba,EUR,Low,Medium Impact
Trinidad and Tobago,EUR,Low,Low Impact
Oman,EUR,Low,Low Impact
Tunisia,EUR,Low,Low Impact
Turkey,EUR,Low,Low Impact
,EUR,Low,Medium Impact
United Arab Emirates,EUR,Low,Low Impact
Uganda,EUR,Low,Serious Impact
Tuvalu,EUR,Low,Medium Impact
United Kingdom,EUR,Low,Low Impact
Belize,EUR,Low,Medium Impact
Ukraine,EUR,Low,Low Impact
United States of America,EUR,Low,Low Impact
Burkina Faso,EUR,Low,Low Impact
Uruguay,EUR,Low,Low Impact
Uzbekistan,EUR,Low,Low Impact
Venezuela (Bolivarian Republic of),EUR,Low,Low Impact
Viet Nam,EUR,Low,Low Impact
Ethiopia,EUR,Low,Low Impact
Ethiopia PDR,EUR,Low,Low Impact
British Virgin Islands,EUR,Low,Medium Impact
Wallis and Futuna Islands,EUR,Low,Medium Impact
Samoa,EUR,Low,Medium Impact
Yemen,EUR,Low,Low Impact
Yemen Ar Rp,EUR,Low,Low Impact
Yemen Dem,EUR,Low,Low Impact
Solomon Islands,EUR,Low,Medium Impact
Democratic Republic of the Congo,EUR,Low,Low Impact
Zambia,EUR,Low,Low Impact
,EUR,Low,Medium Impact
Belgium,EUR,Low,Low Impact
Belgium-Luxembourg,EUR,Low,Low Impact
Luxembourg,EUR,Low,No Impact
Anguilla,EUR,Low,Medium Impact
Brunei Darussalam,EUR,Low,Medium Impact
Bulgaria,EUR,Low,Serious Impact
Mayotte,EUR,Low,Medium Impact
Serbia,EUR,Low,Low Impact
Serbia and Montenegro,EUR,Low,Low Impact
Montenegro,EUR,Low,Medium Impact
Sudan,EUR,Low,Low Impact
South Sudan,EUR,Low,Medium Impact
Myanmar,EUR,Low,Low Impact
Burundi,EUR,Low,Medium Impact
,EUR,Low,Medium Impact
Albania,EUR,Low,Low Impact
Antarctica,EUR,Low,Medium Impact
Cameroon,EUR,Low,Medium Impact
Canada,EUR,Low,Low Impact
Cape Verde,EUR,Low,Medium Impact
China,EUR,Low,Low Impact
Cayman Islands,EUR,Low,Medium Impact
Central African Republic,EUR,Low,Medium Impact
Sri Lanka,EUR,Low,Low Impact
Chad,EUR,Low,Medium Impact
Algeria,EUR,Low,Low Impact
Chile,EUR,Low,Low Impact
Christmas Island,EUR,Low,Medium Impact
Colombia,EUR,Low,Low Impact
Comoros,EUR,Low,Medium Impact
Congo,EUR,Low,Low Impact
Cook Islands,EUR,Low,Medium Impact
Costa Rica,EUR,Low,Low Impact
Cuba,EUR,Low,Medium Impact
American Samoa,EUR,Low,Medium Impact
Cyprus,EUR,Low,Serious Impact
Azerbaijan,EUR,Low,Low Impact
Benin,EUR,Low,Medium Impact
Denmark,EUR,Low,Low Impact
Dominica,EUR,Low,Medium Impact
Dominican Republic,EUR,Low,Low Impact
Belarus,EUR,Low,Low Impact
Ecuador,EUR,Low,Low Impact
Egypt,EUR,Low,Low Impact
Andorra,EUR,Low,Medium Impact
El Salvador,EUR,Low,Low Impact
Equatorial Guinea,EUR,Low,Medium Impact
Estonia,EUR,Low,Serious Impact
Faroe Islands,EUR,Low,Medium Impact
Falkland Islands (Malvinas),EUR,Low,Medium Impact
Fiji,EUR,Low,Low Impact
Finland,EUR,Low,Low Impact
France,EUR,Low,Low Impact
Angola,EUR,Low,Low Impact
French Polynesia,EUR,Low,Medium Impact
Djibouti,EUR,Low,Medium Impact
Georgia,EUR,Low,Low Impact
Gabon,EUR,Low,Medium Impact
Gambia,EUR,Low,Medium Impact
Germany,EUR,Low,Low Impact
Germany Fr,EUR,Low,Low Impact
Germany Nl,EUR,Low,Low Impact
Antigua and Barbuda,EUR,Low,Medium Impact
Bosnia and Herzegovina,EUR,Low,Low Impact
Ghana,EUR,Low,Low Impact
Gibraltar,EUR,Low,Medium Impact
Kiribati,EUR,Low,Medium Impact
Greece,EUR,Low,Low Impact
Greenland,EUR,Low,Medium Impact
Grenada,EUR,Low,Medium Impact
Guam,EUR,Low,Medium Impact
Guatemala,EUR,Low,Low Impact
Argentina,EUR,Low,Low Impact
Guinea,EUR,Low,Low Impact
Guyana,EUR,Low,Low Impact
Haiti,EUR,Low,Medium Impact
Holy See,EUR,Low,Medium Impact
Honduras,EUR,Low,Low Impact
Hungary,EUR,Low,Serious Impact
Croatia,EUR,Low,Serious Impact
Iceland,EUR,Low,Medium Impact
Armenia,CPA,High,Low Impact
Australia,CPA,High,Low Impact
India,CPA,High,Low Impact
Indonesia,CPA,High,Low Impact
Iran (Islamic Republic of),CPA,High,No Impact
Iraq,CPA,High,Low Impact
Ireland,CPA,High,Low Impact
Israel,CPA,High,No Impact
Italy,CPA,High,Low Impact
Cote d'Ivoire,CPA,High,Low Impact
Kazakhstan,CPA,High,Low Impact
Jamaica,CPA,High,Medium Impact
Austria,CPA,High,Low Impact
Japan,CPA,High,Low Impact
Jordan,CPA,High,Low Impact
Kyrgyzstan,CPA,High,Low Impact
Kenya,CPA,High,Low Impact
Cambodia,CPA,High,Medium Impact
Democratic People's Republic of Korea,CPA,High,Medium Impact
Republic of Korea,CPA,High,Low Impact
Kuwait,CPA,High,Medium Impact
Latvia,CPA,High,Low Impact
Bahamas,CPA,High,Medium Impact
Lao People's Democratic Republic,CPA,High,Medium Impact
Lebanon,CPA,High,Low Impact
Lesotho,CPA,High,Medium Impact
Liberia,CPA,High,Medium Impact
Libya,CPA,High,Low Impact
Lithuania,CPA,High,Low Impact
Marshall Islands,CPA,High,Medium Impact
Madagascar,CPA,High,Medium Impact
Bahrain,CPA,High,Low Impact
Malawi,CPA,High,Low Impact
Malaysia,CPA,High,Low Impact
Maldives,CPA,High,Medium Impact
Mali,CPA,High,Low Impact
Malta,CPA,High,Low Impact
Mauritania,CPA,High,Low Impact
Mauritius,CPA,High,Low Impact
Mexico,CPA,High,Low Impact
Barbados,CPA,High,Medium Impact
Mongolia,CPA,High,Serious Impact
Montserrat,CPA,High,Medium Impact
Morocco,CPA,High,Low Impact
Mozambique,CPA,High,Low Impact
Micronesia (Federated States of),CPA,High,Medium Impact
Republic of Moldova,CPA,High,Low Impact
Namibia,CPA,High,Low Impact
Nauru,CPA,High,Medium Impact
Nepal,CPA,High,Medium Impact
Netherlands,CPA,High,Low Impact
,CPA,High,Medium Impact
New Caledonia,CPA,High,Medium Impact
The former Yugoslav Republic of Macedonia,CPA,High,Medium Impact
Vanuatu,CPA,High,Medium Impact
New Zealand,CPA,High,Low Impact
Nicaragua,CPA,High,Low Impact
Niger,CPA,High,Low Impact
Nigeria,CPA,High,Low Impact
Bangladesh,CPA,High,Low Impact
Niue,CPA,High,Medium Impact
Norfolk Island,CPA,High,Medium Impact
Norway,CPA,High,Low Impact
Northern Mariana Islands,CPA,High,Medium Impact
Pacific Islands Trust Territory,CPA,High,Medium Impact
Pakistan,CPA,High,Low Impact
Panama,CPA,High,Low Impact
Czech Republic,CPA,High,Low Impact
Czechoslovakia,CPA,High,Low Impact
Papua New Guinea,CPA,High,Low Impact
Paraguay,CPA,High,Low Impact
Bermuda,CPA,High,Medium Impact
Peru,CPA,High,Low Impact
Philippines,CPA,High,Low Impact
Poland,CPA,High,Low Impact
Portugal,CPA,High,Low Impact
Guinea-Bissau,CPA,High,Medium Impact
Timor-Leste,CPA,High,Medium Impact
Eritrea,CPA,High,Low Impact
Qatar,CPA,High,Medium Impact
Bhutan,CPA,High,Medium Impact
Palau,CPA,High,Medium Impact
Zimbabwe,CPA,High,Low Impact
Romania,CPA,High,Low Impact
Rwanda,CPA,High,Low Impact
Russian Federation,CPA,High,Low Impact
USSR,CPA,High,Low Impact
Saint Helena,CPA,High,Medium Impact
Saint Kitts and Nevis,CPA,High,Medium Impact
Saint Lucia,CPA,High,Medium Impact
Bolivia (Plurinational State of),CPA,High,Low Impact
Saint Pierre and Miquelon,CPA,High,Medium Impact
Saint Vincent and the Grenadines,CPA,High,Medium Impact
Sao Tome and Principe,CPA,High,Medium Impact
Saudi Arabia,CPA,High,Low Impact
Senegal,CPA,High,Low Impact
Seychelles,CPA,High,Medium Impact
Sierra Leone,CPA,High,Medium Impact
Slovenia,CPA,High,Low Impact
Slovakia,CPA,High,Low Impact
Yugoslav SFR,CPA,High,Low Impact
Afghanistan,CPA,High,Low Impact
Botswana,CPA,High,Medium Impact
Singapore,CPA,High,Low Impact
Somalia,CPA,High,Medium Impact
South Africa,CPA,High,Low Impact
Spain,CPA,High,Low Impact
Western Sahara,CPA,High,Medium Impact
Suriname,CPA,High,Medium Impact
Tajikistan,CPA,High,Low Impact
Swaziland,CPA,High,Medium Impact
Brazil,CPA,High,Low Impact
Sweden,CPA,High,Low Impact
Switzerland,CPA,High,Low Impact
Syrian Arab Republic,CPA,High,Low Impact
Turkmenistan,CPA,High,No Impact
United Republic of Tanzania,CPA,High,Low Impact
Thailand,CPA,High,Low Impact
Togo,CPA,High,Low Impact
Tonga,CPA,High,Medium Impact
Aruba,CPA,High,Medium Impact
Trinidad and Tobago,CPA,High,Low Impact
Oman,CPA,High,Low Impact
Tunisia,CPA,High,Low Impact
Turkey,CPA,High,Low Impact
,CPA,High,Medium Impact
United Arab Emirates,CPA,High,Low Impact
Uganda,CPA,High,Low Impact
Tuvalu,CPA,High,Medium Impact
United Kingdom,CPA,High,Low Impact
Belize,CPA,High,Medium Impact
Ukraine,CPA,High,Low Impact
United States of America,CPA,High,Low Impact
Burkina Faso,CPA,High,Low Impact
Uruguay,CPA,High,Low Impact
Uzbekistan,CPA,High,Low Impact
Venezuela (Bolivarian Republic of),CPA,High,Low Impact
Viet Nam,CPA,High,Low Impact
Ethiopia,CPA,High,Low Impact
Ethiopia PDR,CPA,High,Low Impact
British Virgin Islands,CPA,High,Medium Impact
Wallis and Futuna Islands,CPA,High,Medium Impact
Samoa,CPA,High,Medium Impact
Yemen,CPA,High,Low Impact
Yemen Ar Rp,CPA,High,Low Impact
Yemen Dem,CPA,High,Low Impact
Solomon Islands,CPA,High,Medium Impact
Democratic Republic of the Congo,CPA,High,Low Impact
Zambia,CPA,High,Low Impact
,CPA,High,Medium Impact
Belgium,CPA,High,Low Impact
Belgium-Luxembourg,CPA,High,Low Impact
Luxembourg,CPA,High,No Impact
Anguilla,CPA,High,Medium Impact
Brunei Darussalam,CPA,High,Medium Impact
Bulgaria,CPA,High,Low Impact
Mayotte,CPA,High,Medium Impact
Serbia,CPA,High,Low Impact
Serbia and Montenegro,CPA,High,Low Impact
Montenegro,CPA,High,Medium Impact
Sudan,CPA,High,Low Impact
South Sudan,CPA,High,Medium Impact
Myanmar,CPA,High,Low Impact
Burundi,CPA,High,Medium Impact
,CPA,High,Medium Impact
Albania,CPA,High,Low Impact
Antarctica,CPA,High,Medium Impact
Cameroon,CPA,High,Low Impact
Canada,CPA,High,Low Impact
Cape Verde,CPA,High,Medium Impact
China,CPA,High,Low Impact
Cayman Islands,CPA,High,Medium Impact
Central African Republic,CPA,High,Medium Impact
Sri Lanka,CPA,High,Low Impact
Chad,CPA,High,Medium Impact
Algeria,CPA,High,Low Impact
Chile,CPA,High,Low Impact
Christmas Island,CPA,High,Medium Impact
Colombia,CPA,High,Low Impact
Comoros,CPA,High,Medium Impact
Congo,CPA,High,Low Impact
Cook Islands,CPA,High,Medium Impact
Costa Rica,CPA,High,Low Impact
Cuba,CPA,High,Medium Impact
American Samoa,CPA,High,Medium Impact
Cyprus,CPA,High,Low Impact
Azerbaijan,CPA,High,Low Impact
Benin,CPA,High,Medium Impact
Denmark,CPA,High,Low Impact
Dominica,CPA,High,Medium Impact
Dominican Republic,CPA,High,Low Impact
Belarus,CPA,High,Low Impact
Ecuador,CPA,High,Low Impact
Egypt,CPA,High,Low Impact
Andorra,CPA,High,Medium Impact
El Salvador,CPA,High,Low Impact
Equatorial Guinea,CPA,High,Medium Impact
Estonia,CPA,High,Low Impact
Faroe Islands,CPA,High,Medium Impact
Falkland Islands (Malvinas),CPA,High,Medium Impact
Fiji,CPA,High,Low Impact
Finland,CPA,High,Low Impact
France,CPA,High,Low Impact
Angola,CPA,High,Low Impact
French Polynesia,CPA,High,Medium Impact
Djibouti,CPA,High,Medium Impact
Georgia,CPA,High,Low Impact
Gabon,CPA,High,Medium Impact
Gambia,CPA,High,Medium Impact
Germany,CPA,High,Low Impact
Germany Fr,CPA,High,Low Impact
Germany Nl,CPA,High,Low Impact
Antigua and Barbuda,CPA,High,Medium Impact
Bosnia and Herzegovina,CPA,High,Low Impact
Ghana,CPA,High,Low Impact
Gibraltar,CPA,High,Medium Impact
Kiribati,CPA,High,Medium Impact
Greece,CPA,High,Low Impact
Greenland,CPA,High,Medium Impact
Grenada,CPA,High,Medium Impact
Guam,CPA,High,Medium Impact
Guatemala,CPA,High,Low Impact
Argentina,CPA,High,Low Impact
Guinea,CPA,High,Low Impact
Guyana,CPA,High,Low Impact
Haiti,CPA,High,Medium Impact
Holy See,CPA,High,No Impact
Honduras,CPA,High,Low Impact
Hungary,CPA,High,Low Impact
Croatia,CPA,High,Low Impact
Iceland,CPA,High,Medium Impact
Armenia,FSU,Low,Low Impact
Australia,FSU,Low,No Impact
India,FSU,Low,No Impact
Indonesia,FSU,Low,No Impact
Iran (Islamic Republic of),FSU,Low,No Impact
Iraq,FSU,Low,No Impact
Ireland,FSU,Low,No Impact
Israel,FSU,Low,No Impact
Italy,FSU,Low,No Impact
Cote d'Ivoire,FSU,Low,No Impact
Kazakhstan,FSU,Low,Low Impact
Jamaica,FSU,Low,No Impact
Austria,FSU,Low,No Impact
Japan,FSU,Low,No Impact
Jordan,FSU,Low,No Impact
Kyrgyzstan,FSU,Low,Low Impact
Kenya,FSU,Low,No Impact
Cambodia,FSU,Low,No Impact
Democratic People's Republic of Korea,FSU,Low,No Impact
Republic of Korea,FSU,Low,No Impact
Kuwait,FSU,Low,No Impact
Latvia,FSU,Low,No Impact
Bahamas,FSU,Low,No Impact
Lao People's Democratic Republic,FSU,Low,No Impact
Lebanon,FSU,Low,No Impact
Lesotho,FSU,Low,No Impact
Liberia,FSU,Low,No Impact
Libya,FSU,Low,No Impact
Lithuania,FSU,Low,No Impact
Marshall Islands,FSU,Low,No Impact
Madagascar,FSU,Low,No Impact
Bahrain,FSU,Low,No Impact
Malawi,FSU,Low,No Impact
Malaysia,FSU,Low,No Impact
Maldives,FSU,Low,No Impact
Mali,FSU,Low,No Impact
Malta,FSU,Low,No Impact
Mauritania,FSU,Low,No Impact
Mauritius,FSU,Low,No Impact
Mexico,FSU,Low,No Impact
Barbados,FSU,Low,No Impact
Mongolia,FSU,Low,No Impact
Montserrat,FSU,Low,No Impact
Morocco,FSU,Low,No Impact
Mozambique,FSU,Low,No Impact
Micronesia (Federated States of),FSU,Low,No Impact
Republic of Moldova,FSU,Low,Low Impact
Namibia,FSU,Low,No Impact
Nauru,FSU,Low,No Impact
Nepal,FSU,Low,No Impact
Netherlands,FSU,Low,No Impact
,FSU,Low,No Impact
New Caledonia,FSU,Low,No Impact
